660	,
726	,
793	,
862	,
931	,
1004	,
1078	,
1154	,
1231	,
1310	,
1391	,
1473	,
1558	,
1643	,
1730	,
1819	,
1910	,
2002	,
2097	,
2192	,
2290	,
2388	,
2488	,
2589	,
2693	,
2797	,
2903	,
3010	,
3119	,
3228	,
3339	,
3452	,
3565	,
3680	,
3796	,
3913	,
4030	,
4150	,
4269	,
4391	,
4512	,
4635	,
4758	,
4883	,
5008	,
5133	,
5259	,
5386	,
5514	,
5642	,
5770	,
5898	,
6027	,
6156	,
6286	,
6416	,
6545	,
6674	,
6804	,
6934	,
7063	,
7193	,
7322	,
7450	,
7579	,
7707	,
7835	,
7962	,
8089	,
8215	,
8340	,
8464	,
8588	,
8712	,
8834	,
8955	,
9075	,
9194	,
9312	,
9429	,
9545	,
9658	,
9772	,
9883	,
9995	,
10103	,
10212	,
10318	,
10423	,
10526	,
10627	,
10727	,
10826	,
10922	,
11017	,
11110	,
11200	,
11290	,
11376	,
11462	,
11544	,
11626	,
11704	,
11782	,
11856	,
11929	,
11999	,
12067	,
12133	,
12198	,
12259	,
12319	,
12375	,
12430	,
12483	,
12533	,
12582	,
12627	,
12671	,
12711	,
12750	,
12786	,
12822	,
12852	,
12882	,
12908	,
12934	,
12955	,
12976	,
12993	,
13009	,
13022	,
13033	,
13042	,
13049	,
13053	,
13055	,
13056	,
13053	,
13049	,
13042	,
13035	,
13024	,
13012	,
12997	,
12981	,
12962	,
12942	,
12920	,
12897	,
12870	,
12843	,
12813	,
12782	,
12750	,
12715	,
12680	,
12642	,
12604	,
12563	,
12522	,
12478	,
12434	,
12388	,
12342	,
12293	,
12244	,
12193	,
12141	,
12088	,
12034	,
11980	,
11925	,
11868	,
11811	,
11752	,
11693	,
11634	,
11573	,
11513	,
11451	,
11390	,
11328	,
11265	,
11202	,
11138	,
11074	,
11010	,
10946	,
10882	,
10818	,
10753	,
10688	,
10624	,
10559	,
10494	,
10430	,
10365	,
10300	,
10237	,
10173	,
10110	,
10047	,
9984	,
9922	,
9860	,
9799	,
9738	,
9678	,
9618	,
9559	,
9500	,
9442	,
9385	,
9328	,
9273	,
9217	,
9163	,
9110	,
9057	,
9005	,
8954	,
8904	,
8854	,
8806	,
8758	,
8712	,
8666	,
8621	,
8577	,
8534	,
8492	,
8451	,
8411	,
8373	,
8335	,
8298	,
8263	,
8228	,
8194	,
8161	,
8130	,
8099	,
8070	,
8041	,
8014	,
7986	,
7962	,
7937	,
7914	,
7892	,
7871	,
7851	,
7832	,
7814	,
7796	,
7780	,
7764	,
7751	,
7737	,
7725	,
7713	,
7702	,
7692	,
7684	,
7676	,
7670	,
7663	,
7658	,
7653	,
7650	,
7647	,
7645	,
7644	,
7644	,
7644	,
7644	,
7646	,
7648	,
7651	,
7654	,
7658	,
7663	,
7668	,
7674	,
7681	,
7688	,
7696	,
7704	,
7713	,
7723	,
7733	,
7743	,
7753	,
7763	,
7774	,
7786	,
7797	,
7809	,
7821	,
7833	,
7845	,
7857	,
7870	,
7882	,
7895	,
7907	,
7920	,
7933	,
7945	,
7957	,
7970	,
7982	,
7994	,
8006	,
8018	,
8030	,
8042	,
8054	,
8065	,
8075	,
8086	,
8096	,
8106	,
8116	,
8125	,
8134	,
8142	,
8149	,
8156	,
8163	,
8170	,
8176	,
8181	,
8186	,
8190	,
8194	,
8197	,
8199	,
8201	,
8203	,
8204	,
8204	,
8203	,
8202	,
8200	,
8197	,
8193	,
8189	,
8184	,
8178	,
8172	,
8164	,
8156	,
8146	,
8136	,
